取引先コード,取引先名,部品コード,品名,棚番１,棚番２,棚番３,取引先品番,規格,行先コード,期末在庫,1月：受入,1月：払出,2月：受入,2月：払出,3月：受入,3月：払出,4月：受入,4月：払出,5月：受入,5月：払出,6月：受入,6月：払出,7月：受入,7月：払出,8月：受入,8月：払出,9月：受入,9月：払出,10月：受入,10月：払出,11月：受入,11月：払出,12月：受入,12月：払出
15026000,コダマ樹脂工業㈱,25221112000,ﾀﾝｸ(ﾌｪｰｴﾙ),JKB,J-111,J-200,JKB-2522-111,ﾛｯﾄ 3,１組,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,311,0,0,0,0,0,0,0,0
15026000,コダマ樹脂工業㈱,38058305101,ﾀﾝｸ(ｱｯﾊﾟ) ASSY,ﾊﾟｰﾂ,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15078000,三協精器工業株式会社,49025400031,ﾎﾙﾀﾞ(ｾﾊﾟﾚｰﾀ),R13,,,ｲｾｷﾉｳｷ(ﾕｳｼｭｳ),ｲｾｷ(ﾕｳｼｭｳ),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4374,311,0,0,0,0,0,0,0,0
15078000,三協精器工業株式会社,85632300050,SP(HE082),M36,,,SP(HE082),,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
