取引先コード,取引先名,対象年月,取引先品番,部品コード,規格,前月残,01～10日：受入数,01～10日：払出数,01～10日：在庫,11～20日：受入数,11～20日：払出数,11～20日：在庫,21～末日：受入数,21～末日：払出数,21～末日：在庫
15026000,コダマ樹脂工業㈱,2015/08,JKB-2522-111-200-0,25221112000,ﾛｯﾄ 3,0,30,0,30,0,0,30,0,0,30
15026000,コダマ樹脂工業㈱,2015/08,,38058305101,,0,0,0,0,0,0,0,0,0,0
